timestamp,gx,gy,gz
1726357094.8193705,322.14,63.54,282.1
1726357503.9239058,-1.65,2.87,-3.11
1726356828.5919516,-0.24,-0.37,0.12
1726357415.1350925,65.37,163.94,-142.7
1726357200.2830987,156.62,348.51,82.58
1726356831.572701,-0.18,-0.31,0.06
1726357178.3776543,163.82,-274.17,105.29
1726357196.8402898,60.97,416.2,-290.1
1726356888.1288683,-97.66,265.26,904.05
1726357290.6577182,216.19,115.05,-292.91
1726357232.6196303,4.7,-341.67,-363.46
1726357492.214544,-14.89,328.8,72.39
1726357368.335364,-235.41,415.47,-59.63
1726357419.194358,-85.63,143.07,-99.0
1726357008.766085,201.35,74.28,-31.13
1726357255.4483452,-3.78,-141.78,-59.63
1726357165.6228511,44.37,164.06,-402.4
1726357178.614386,67.63,-200.32,31.62
1726357162.2023883,-64.76,135.86,-63.17
1726357267.5573623,169.25,109.74,26.31
1726357372.6911943,46.63,-219.97,403.02
1726357321.124377,40.89,143.98,-817.69
1726357108.4484875,-375.43,-391.97,718.38
1726357157.0861754,-308.9,301.64,530.58
1726357002.716457,-2.2,0.43,-3.97
1726357380.5783615,249.94,-710.45,-56.88
1726357029.3006458,-1472.53,-298.03,-761.41
1726357372.4593678,-552.0,-279.17,148.5
1726357497.104831,-150.33,65.92,44.56
1726357262.2891493,0.0,198.73,176.88
1726357231.1544075,36.87,-303.04,290.1
1726357485.198294,113.95,-346.56,93.75
1726357050.8765368,-458.98,312.62,-260.01
1726357299.8633657,-91.61,136.11,358.7
1726357015.392946,-116.15,-128.54,-21.79
1726357247.083421,20.81,-38.7,80.02
1726357252.002004,-66.89,72.14,9.03
1726357126.07594,274.41,-270.2,-712.89
1726357100.8278594,-95.09,-235.84,-571.47
1726357002.990018,-1.83,-0.24,-1.22
